% pa1
A a
喁 yong2
喂 wei4,wei2
喃 nan2
善 shan4
喇 la3,la1
喈 jie1
喉 hou2
喊 han3
喌 zhou1
㖞 wai1
喏 nuo4,re3
喑 yin1
喓 yao1
喔 o1,wo5
喘 chuan3
喙 hui4
唤 huan4
喜 xi3
喝 he1,he4
喟 kui4
喣 xu3
喤 huang2
喥 du4
喦 nie4
喧 xuan1
喨 liang4
喩 yu4
丧 sang4,sang1
乔 qiao2
喭 yan4
单 dan1,shan4
喰 can1
喱 li2
哟 yo1,yo5
喳 zha1,cha1
喵 miao1
営 ying2
喹 kui2
喺 xi3
喻 yu4
喼 jie2
喿 sao4
嗀 huo4
嗃 he4
嗄 a2,sha4
嗅 xiu4
呛 qiang1,qiang4
啬 se4
嗈 yong1
嗉 su4
唝 hong3
嗍 suo1
吗 ma5,ma3
嗐 hai4
嗑 ke4
嗒 ta4
嗓 sang3
嗔 chen1
嗕 ru4
嗖 sou1
嗙 pang3
呜 wu1
嗛 qian4
嗜 shi4
嗝 ge2
嗟 jie1
嗡 weng1
嗣 si4
嗤 chi1
嗥 hao2
嗦 suo1
嗨 hai1
唢 suo3
嗪 qin2
嗬 he1
嗯 en1,en4,en5
𠮶 ge4
嗲 dia3
嗵 tong1
哔 bi4
嗷 ao2
嗹 lian2
嗻 zhe4
嗽 sou4
嗾 sou3
嗿 tan3
嘀 di1
嘁 qi1
嘂 jiao4
嘅 ge3
慨 kai3
叹 tan4
嘈 cao2
嘉 jia1
啀 ai2
嘌 piao4,piao1
喽 lou2,lou5
嘎 ga2
嘏 gu3,jia3
嘐 xiao1
嘒 hui4
啯 guo1
呕 ou3
啧 ze2
尝 chang2
嘚 de1
嘛 ma5
唛 mai4
嘞 lei5
嘟 du1
嘡 tang1
嘢 ye3
嘣 beng1
嘥 sai1
嘦 jiao4
嘧 mi4
哗 hua1,hua2
嘫 ran2
嘬 chuai4,zuo1
嘭 peng1
唠 lao2,lao4
啸 xiao4
叽 ji1
嘲 chao2,zhao1
嘴 zui3
哓 xiao1
嘶 si1
呒 fu3,m2
嘹 liao2
嘻 xi1
啴 chan3,tan1
嘿 hei1
噀 xun4
𫫇 e3
噂 zun3
𠯠 hui1
噇 chuang2
噌 ceng1,cheng1
噍 jiao4
噎 ye1
噏 xi1
